ra,dec,z,petroMag_r
230.15259,-0.22046308,0.07634206,17.56009
205.20971,0.51822399,0.0769005,17.15352
200.82215,-0.91464092,0.0765987,16.82645
155.84338,-0.51001266,0.1133601,17.52865
160.53702,-0.11079194,0.1139992,17.60453
166.93844,-0.0058360858,0.1137192,17.79165
236.80725,-0.14219098,0.1133296,17.22292
152.00348,0.35649896,0.0315523,17.02369
152.08589,0.25061994,0.0314129,15.86985
161.68606,0.30528135,0.07682706,17.3511
161.68047,0.37563871,0.07685871,15.67065
169.02704,0.21876877,0.07655678,17.49961
212.02527,0.36315511,0.1134399,16.75389
230.41509,0.26642097,0.07660513,15.96259
233.41061,0.36972558,0.1137707,17.88049
233.41086,0.37030341,0.1132567,16.95474
133.96659,0.65076742,0.1134733,17.78025
141.88696,0.82818664,0.07677312,17.52058
150.93109,0.70469435,0.03229077,16.58709
154.60831,0.63577665,0.0765985,17.55685
155.29277,0.65518067,0.1132934,17.70208
158.71076,0.6764098,0.03203462,14.5306
161.63654,0.71778217,0.1140306,17.80152
149.9512,1.0951262,0.03230694,15.15718
170.83487,1.1233442,0.07673455,17.78821
210.41185,1.197536,0.03197714,17.86903
131.16681,0.15243288,0.07671116,17.1379
173.52975,1.3388059,0.07686819,16.22729
221.83664,-1.001688,0.07666751,16.69961
177.07839,0.59331246,0.07662005,16.76418
199.05858,-1.4881275,0.03188721,15.29654
161.18386,0.90115902,0.113843,17.6935
166.60805,1.3347548,0.03117335,17.17546
144.11359,1.4585302,0.0766238,17.22886
148.18203,0.53722087,0.0766632,17.62651
148.06874,0.5475899,0.0766883,17.73333
147.95132,0.60521717,0.03107532,17.89634
147.72238,0.60230019,0.07688787,17.80244
150.31873,0.12098792,0.03218562,16.29728
217.18467,1.4094777,0.1133519,17.01595
217.16978,1.4200534,0.1135556,16.185
188.02631,1.4045379,0.07659877,17.01908
187.6434,1.2734633,0.03104862,15.66663
179.98607,1.3105653,0.0768405,17.73756
175.12752,1.3835202,0.07640829,16.58588
174.66459,1.2647839,0.07636464,15.99994
155.82607,0.97793278,0.1139958,17.80737
241.69547,1.2339509,0.03107162,16.72927
235.67326,1.1533,0.113538,17.62527
231.15539,1.1942015,0.07648665,16.55328
230.98192,1.2379337,0.07635152,16.721
236.74009,0.65283075,0.1137776,17.57488
231.61409,0.77530895,0.1135825,17.80104
130.77893,0.96278574,0.07698908,16.53005
130.57762,0.94160273,0.07658235,17.31505
130.58952,0.085904147,0.07649653,17.88873
197.80284,-1.4511073,0.1134175,16.45217
170.94005,-1.274307,0.07697096,15.66672
199.48541,1.1186032,0.03106309,16.43
195.32016,1.1513782,0.07699652,16.7516
185.72142,1.0910397,0.1133305,17.64375
184.91376,1.2354884,0.1135254,17.58853
181.88991,1.1684608,0.07690468,17.10784
181.79935,1.1940903,0.07686661,17.04064
173.56816,1.1276826,0.1133293,17.63828
169.36293,1.1365029,0.1140319,17.34634
163.72447,1.050829,0.07678256,17.77471
213.57314,0.67150362,0.1138111,15.88681
213.60413,0.6718471,0.1137254,16.74805
212.02463,0.74924201,0.07672911,15.96848
177.18564,0.68866823,0.07662808,17.24177
174.86068,0.69783319,0.07698466,16.40582
173.61799,0.75422291,0.1137968,17.15678
173.49305,0.81101909,0.1136568,16.45078
147.51314,0.71902039,0.03094283,16.04654
136.17377,0.70048953,0.07689579,16.76989
237.38327,0.31987363,0.03174691,17.38238
237.37512,0.34586604,0.03211204,16.48701
168.64499,-0.8301207,0.07658804,17.44075
237.42105,0.23676014,0.03190232,16.64483
236.90036,0.36903927,0.1135403,16.5463
236.88777,0.39000501,0.1133909,17.30982
231.57579,0.31555165,0.07682261,16.81131
177.51156,-0.82633628,0.07697036,17.41958
230.46016,0.30641842,0.0769085,17.5435
211.98943,0.29495577,0.1133821,17.82736
182.81862,0.2292557,0.07634416,17.62941
161.86297,0.28254319,0.07632522,17.24833
155.13413,0.32827599,0.1133924,17.51882
237.37318,-0.094775128,0.113964,16.90375
236.75179,-0.056320747,0.1134969,15.32293
236.68127,-0.17702896,0.1139809,17.81205
211.66285,-0.11892696,0.1132681,17.38932
188.90756,-0.081617663,0.1136905,17.69778
178.05365,-0.11413247,0.07699241,16.1037
166.67167,-0.034206757,0.03112363,16.63119
148.77557,-0.14121193,0.07679157,17.17602
187.62708,-0.55378743,0.114067,17.21768
179.01048,-0.21853714,0.1133218,18.39854
180.05646,-0.42183653,0.07673916,16.83167
179.7542,-0.545437,0.0768301,16.86473
178.01735,-0.42108118,0.07699006,17.05073
159.6673,-0.5189601,0.1139529,17.54278
148.87996,-0.46726397,0.03220713,15.77621
204.8421,-0.93443382,0.1132849,17.25114
198.80443,-1.03702,0.1136573,16.87444
